epoch,train_total,train_coarse_kd,train_feat_kd,train_gt_sup,val_total,val_coarse_kd,val_feat_kd,val_gt_sup
1,2.0870832427342734,3.1539814292060004,5.166682404412164,2.0870832427342734,2.0170721864700316,2.8223641681671143,5.085550613403321,2.0170721864700316
2,1.5482517957687378,2.533089016808404,5.174689178466797,1.5482517957687378,1.3867566680908203,2.487427921295166,5.178241577148437,1.3867566680908203
3,1.2523900119463602,2.3777265273200143,5.205644705030653,1.2523900119463602,1.1051889371871948,2.2511803770065306,5.228317489624024,1.1051889371871948
4,1.1031233869658577,2.292524116834005,5.2026029904683435,1.1031233869658577,1.091438994407654,2.3518428897857664,5.20569414138794,1.091438994407654
5,1.0269749053319295,2.250562046898736,5.20310541788737,1.0269749053319295,0.9544246411323547,2.262726607322693,5.236533508300782,0.9544246411323547
6,0.964862219757504,2.2729645490646364,5.211675442589653,0.964862219757504,0.9121514725685119,2.2451353788375856,5.2831314849853515,0.9121514725685119
7,0.9135015855895149,2.265466916296217,5.220913679334853,0.9135015855895149,0.8812822246551514,2.2470370435714724,5.227958183288575,0.8812822246551514
8,0.8824972078535291,2.246754083633423,5.221974953545464,0.8824972078535291,0.8440781092643738,2.0988800621032713,5.19139835357666,0.8440781092643738
9,0.8687613322999742,2.2626513152652317,5.210297997792562,0.8687613322999742,0.8462326407432557,2.2246235513687136,5.205606822967529,0.8462326407432557
10,0.8412305755085415,2.289961609840393,5.2218716960483125,0.8412305755085415,0.8119422626495362,2.3044983673095705,5.233315448760987,0.8119422626495362
11,0.8015697272618612,2.2577523819605507,5.238246542612711,0.8015697272618612,0.8432486033439637,2.320296006202698,5.196904735565186,0.8432486033439637
12,0.7877139361699422,2.258962426185608,5.242151131100125,0.7877139361699422,0.7954377818107605,2.218557987213135,5.248681964874268,0.7954377818107605
13,0.7738899148835077,2.2425565910339356,5.230957927703858,0.7738899148835077,0.755236246585846,2.1781018924713136,5.227378273010254,0.755236246585846
14,0.7689064841800266,2.250111690627204,5.231026178995768,0.7689064841800266,0.7354915499687195,2.288671889305115,5.29532320022583,0.7354915499687195
15,0.7574750913514031,2.2880106772316826,5.229607794019911,0.7574750913514031,0.7402173233032227,2.2315491676330566,5.1720982360839844,0.7402173233032227
16,0.7461579812897576,2.2682938411500717,5.231581160227457,0.7461579812897576,0.6934127473831176,2.184559497833252,5.229215030670166,0.6934127473831176
17,0.7186749850379096,2.2842525895436605,5.2423082945081925,0.7186749850379096,0.7536432147026062,2.333439269065857,5.202555847167969,0.7536432147026062
18,0.7224625057644314,2.274723906517029,5.231643721262614,0.7224625057644314,0.7251719927787781,2.2766894245147706,5.2202749443054195,0.7251719927787781
19,0.7193596869044834,2.277347247335646,5.235166905721028,0.7193596869044834,0.6764915657043457,2.280858635902405,5.253858451843262,0.6764915657043457
20,0.7042421963479784,2.293293506304423,5.233716858757867,0.7042421963479784,0.7271928215026855,2.4057976627349853,5.282432498931885,0.7271928215026855
